Domain,Direction,HR,HR_Low,HR_High,P_Val_TTD,Event_Rate_GP,Event_Rate_IT,Median_TTD_GP,Median_TTD_IT
QL_Global,1,0.8339140034438941,0.5838562389356571,1.1910681410333614,0.3179857569323866,0.5,0.4461538461538462,246,347
PF_Physical,1,0.9741053060672679,0.6828504360612284,1.3895885499929932,0.8849086087319978,0.46923076923076923,0.47692307692307695,246,333
RF_Role,1,1.0263344194177872,0.7266237772863838,1.4496667648497348,0.8827169609452749,0.5,0.49230769230769234,239,157
EF_Emotional,1,1.2743584743518435,0.8165328482288656,1.9888844945735373,0.2857441206383737,0.2692307692307692,0.3384615384615385,NA,586
CF_Cognitive,1,1.1131215504485765,0.7778013175531401,1.593002683475643,0.5578889532176958,0.4461538461538462,0.47692307692307695,476,197
SF_Social,1,1.296939511608742,0.9144737903472419,1.839366108167209,0.1447146459910571,0.4461538461538462,0.5307692307692308,325,211
FA_Fatigue,-1,1.1338838265103746,0.8405274129876993,1.529625937423917,0.4107324631714393,0.6461538461538462,0.6846153846153846,98,61
NV_Nausea,-1,1.0367470316902088,0.7531090722889238,1.4272094803634288,0.8248679213507735,0.5615384615384615,0.6,118,96
PA_Pain,-1,0.8405553889916028,0.5799581521743384,1.2182488672914404,0.3589649278306313,0.46153846153846156,0.4076923076923077,265,NA
DY_Dyspnoea,-1,1.0327244728058045,0.6833722837832058,1.5606717773622372,0.8785213748679085,0.34615384615384615,0.35384615384615387,420,NA
SL_Insomnia,-1,0.9833075873066491,0.6441747120709655,1.5009807015651764,0.9378235240245575,0.33076923076923076,0.3384615384615385,NA,NA
AP_Appetite,-1,1.0884249539224093,0.7932872846075246,1.4933667831410014,0.5995552721707623,0.5769230769230769,0.6076923076923076,112,90
CO_Constip,-1,1.0130850224850163,0.6830657955886622,1.50255110036504,0.9484585044055412,0.3769230769230769,0.38461538461538464,NA,NA
DI_Diarrhea,-1,1.1827769833693995,0.6920662526194831,2.0214269762372075,0.5392854521601098,0.19230769230769232,0.2230769230769231,NA,NA
FI_Financial,-1,0.5731561190218266,0.3608147560572958,0.9104614799068713,0.018411867240497173,0.35384615384615387,0.23846153846153847,427,NA
HN_Pain,-1,1.1515578242266293,0.7283271472230307,1.8207277150023493,0.5460225165061062,0.2692307692307692,0.3076923076923077,497,NA
HN_Swallow,-1,0.987401692477674,0.6170187795434154,1.5801173880464907,0.9578510700925,0.2692307692307692,0.2692307692307692,NA,NA
HN_Senses,-1,1.1541637141130643,0.8009782824204271,1.6630836418559198,0.441733920365228,0.4230769230769231,0.46923076923076923,510,417
HN_Speech,-1,1.1431318075649521,0.7858343026606824,1.6628827795405619,0.4841922988923813,0.4,0.45384615384615384,332,347
HN_SocialEat,-1,1.194274936780255,0.7969612812664646,1.7896636362997915,0.38963848655387634,0.3384615384615385,0.3923076923076923,424,NA
HN_SocialCon,-1,1.0916383147795057,0.7392710298935968,1.6119584862755358,0.6592869571062512,0.3769230769230769,0.4076923076923077,424,586
HN_Teeth,-1,0.8510560002489441,0.5672636477697628,1.2768248386924723,0.4358439191289526,0.3769230769230769,0.35384615384615387,377,505
HN_OpenMouth,-1,0.862546985679143,0.5456146694160198,1.3635764289484325,0.5268589128720467,0.3,0.2692307692307692,594,NA
HN_DryMouth,-1,1.32113591521093,0.8531357159782473,2.0458645368736676,0.211990796675188,0.27692307692307694,0.35384615384615387,NA,461
HN_Sticky,-1,1.378921719565876,0.9025771575304115,2.1066621206026324,0.13729855577541947,0.2846153846153846,0.3923076923076923,NA,377
HN_Cough,-1,1.0585474754236397,0.6677192963128161,1.6781344554715603,0.8087677504581704,0.2692307692307692,0.2923076923076923,NA,NA
HN_Ill,-1,1.7310333612645115,1.138095413420082,2.6328868937324192,0.010331479171326397,0.27692307692307694,0.4307692307692308,NA,396
HN_PainKiller,-1,0.4654046683795818,0.24762387735882285,0.8747197873637971,0.01751444900111752,0.2153846153846154,0.11538461538461539,NA,NA
HN_Supplem,-1,1.271344521249266,0.8037440376798735,2.0109846119372334,0.30482306207555543,0.25384615384615383,0.3153846153846154,NA,NA
HN_Tube,-1,0.2752582969523361,0.05432136338667708,1.3947943372069922,0.1192139693880601,0.046153846153846156,0.015384615384615385,NA,NA
HN_WeightLoss,-1,1.1132830178362971,0.708347695935667,1.7497043964624637,0.6417918341899106,0.27692307692307694,0.3076923076923077,NA,NA
HN_WeightGain,-1,0.8858042551852017,0.6318394971528767,1.24184889048549,0.481783111126745,0.5230769230769231,0.5153846153846153,174,204
